https://golf.com/gear/|文章抓取失败: page.waitForSelector: Timeout 15000ms exceeded.
https://golf.com/gear/drivers/2025-best-drivers-tested-ranked/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:14:00.101Z
https://golf.com/gear/golf-balls/best-golf-balls-2025-tested/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:15:25.145Z
https://golf.com/instruction/tips/driving-range-tips-scottie-scheffler-coach/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:13:44.240Z
https://golf.com/news/10-open-sights-sounds-portrush-2025/|实时赛事报道内容过长，已跳过|2025-07-22T08:25:27.654Z
https://golf.com/news/6-pro-golf-observations-3-weeks-abroad/|实时赛事报道内容过长，已跳过|2025-07-29T06:59:40.077Z
https://golf.com/news/features/|文章抓取失败: page.waitForSelector: Timeout 15000ms exceeded.
https://golf.com/news/liv-golf-bryson-dechambeau-future-tour/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:14:29.752Z
https://golf.com/news/open-championship-2025-sunday-tee-times/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T01:55:08.698Z
https://golf.com/news/pga-tour-players-react-scottie-scheffler-open/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T01:55:22.326Z
https://golf.com/news/rory-mcilroy-open-championship-reaction/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:15:39.676Z
https://golf.com/news/scottie-rory-haotong-pint-thoughts-open/|实时赛事报道内容过长，已跳过|2025-07-22T08:24:52.879Z
https://golf.com/news/scottie-scheffler-philosophy-mcilroy-the-local-hero/|实时赛事报道内容过长，已跳过|2025-07-16T08:51:17.482Z
https://golf.com/news/scottie-scheffler-wins-2025-open-championship-dominant/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:13:25.440Z
https://golf.com/news/sights-sounds-open-championship-thursday/|实时赛事报道内容过长，已跳过|2025-07-22T07:18:40.165Z
https://golf.com/news/tiger-woods-2025-schedule-pga-tour/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:15:10.797Z
https://golf.com/travel/best-golf-resorts-america-2025/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:14:54.480Z
https://mygolfspy.com/buyers-guide/callaway-pre-owned-versus-marketplace-sellers-whats-the-difference/|文章抓取失败: urlsWithNumbers is not defined|2025-07-24T09:18:40.921Z
https://mygolfspy.com/buyers-guides/drivers/best-drivers-2025-most-wanted/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:16:55.424Z
https://mygolfspy.com/buyers-guides/golf-balls/best-golf-balls-2025-robot-tested/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:16:34.735Z
https://mygolfspy.com/buyers-guides/putters/best-putters-2025-tested/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:17:25.235Z
https://mygolfspy.com/golf-travel/mygolfspy-experiences-does-whistling-straits-belong-on-your-golfer-do-list/|文章抓取失败: urlsWithNumbers is not defined|2025-07-24T07:55:13.445Z
https://mygolfspy.com/news-opinion/callaway-ai-smoke-ti-driver-review/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-22T08:17:05.389Z
https://mygolfspy.com/news-opinion/first-look/malbon-teams-up-with-etnies-for-skateshoe-crossover/|Claude改写失败: Claude执行失败 (代码1): 未知错误|2025-07-25T14:55:23.698Z
https://mygolfspy.com/news-opinion/first-look/new-ping-g440-max-10k-driver/|文章抓取失败: HTTP 404: 文章不存在或已被删除|2025-07-18T07:02:11.361Z
